,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Of which Polyunsaturated,Iron,Omega 3,Vitamin A,Vitamin B12,Sodium,Vitamin D,Calcium,Of which Trans,Vitamin C,Selenium,Thiamin,Iodine,Potassium,Riboflavin,Vitamin E,Vitamin B6,Biotin,Copper,Of which Polyols,Manganese,Omega 6,Folic Acid,Niacin,Polyunsaturates,Salt Equivalent,Magnesium,Pathogenic Acid,Zinc,Of which Starch,Vitamin K,Chloride,Pantothenic Acid,Cholesterol,Of which Cholesterol,box,label-glued,shrinkwrap,Omega 9
5352,82g,334kcal,<0.5g,,0.1g,42g,<0.5g,<0.01g,Haribo Giant Strawbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5353,76.9g,342kcal,<0.5g,0.5g,0.1g,43.7g,7.9g,0.06g,Waitrose Teeth & Lips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5354,98g,395kcal,<0.1g,,0g,94g,0.3g,<0.01g,Trebor extra strong mints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5355,98.1g,402kcal,1.0g,0.0g,1.0g,95.6g,Trace,0.01g,Polo mints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5356,90.8g,404kcal,4.2g,,2.3g,89.9g,0g,0.02g,Skittles fruits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5357,74g,363kcal,6.7g,1.2g,3.8g,64g,1.2g,0.36g,Fry's Turkish Delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5358,77g,342kcal,<0.5g,,0.1g,47g,6.6g,0.03g,Haribo starmix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5359,45.7g,548kcal,33.2g,5.3g,6.6g,38.0g,14.1g,0g,Cypressa Sesame Halva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5360,98g,387kcal,0g,,0g,0g,0g,0g,Chupa Chups Sugar Free Lollipop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5361,68.1g,465kcal,18.7g,3.1g,11.3g,60.5g,4.6g,0.76g,Fabulous Sea-Salted FudgeeBites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5362,83g,341kcal,0.1g,,<0.1g,59g,0.8g,0.17g,Candy Kittens Tropical Mango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5363,71.7g,436kcal,13.2g,4.4g,4.9g,58.9g,5.4g,0.04g,No.1 Dark Chocolate & Hazelnut Nougat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5364,89.3g,383kcal,1.0g,,0.6g,88.7g,Trace,2.63g,Refreshers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5365,82g,340kcal,0.2g,,<0.1g,59g,1.4g,0.06g,Candy Kittens Eton Mess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5366,92g,388kcal,1.9g,,1.7g,69g,0g,0.1g,Mentos Fruit Multipack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5367,76g,329kcal,0.2g,,0.2g,57g,4.8g,0.03g,Maynards wine gums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5368,35.2g,587kcal,43.7g,9.2g,20.7g,34.5g,8.6g,0.27g,No.1 Dark Chocolate with Orange & Almond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5369,35.2g,611kcal,46.9g,4.2g,25.2g,30.9g,9.9g,0.50g,"No.1 Milk Chocolate with Hazelnut, Cashew & Pistachio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5370,39.9g,603kcal,44.9g,3.7g,27.3g,34.5g,8.1g,0.56g,No.1 Milk Chocolate with Feuilletine & Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5371,26.5g,605kcal,48.5g,12.2g,29.3g,19.4g,9.5g,<0.01g,No.1 Peru Dark Chocolate 80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5372,45.4g,540kcal,35.3g,8.2g,21.3g,41.7g,6.1g,0.06g,No.1 Dark Chocolate with Spiced Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5373,40.3g,562kcal,38.6g,10.4g,23.3g,32.8g,8.2g,0.0g,No.1 Dominican Republic Dark Chocolate 65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5374,33.8g,613kcal,47.9g,6.0g,30.8g,32.1g,8.7g,0.20g,No.1 Milk Chocolate with Coconut & Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5375,44.6g,499kcal,31.8g,6.5g,19.3g,35.7g,5.4g,0.25g,No.1 Contemporary Chocolate Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5376,39.0g,618kcal,47.0g,3.4g,28.5g,34.7g,8.0g,0.17g,No.1 Dominican Republic Milk Chocolate 49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5377,26.5g,605kcal,48.5g,12.2g,29.3g,19.4g,9.5g,<0.01g,No.1 Dark Chocolate 80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5378,39.0g,577kcal,42.2g,4.8g,24.5g,28.8g,8.0g,0.11g,No.1 Designer Chocolate Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5379,43.6g,538kcal,36.3g,4.8g,21.7g,34.6g,6.7g,0.05g,No.1 Champagne Truffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5380,39.8g,564kcal,40.7g,5.5g,24.2g,28.7g,6.9g,0.03g,No.1 Dark Chocolate Truffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5381,40.3g,562kcal,38.6g,10.4g,23.3g,32.8g,8.2g,0.0g,No.1 Dominican Republic Dark Chocolate 65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5382,56.2g,531kcal,31.4g,0.6g,19.2g,53.2g,5.6g,0.33g,No.1 Salted Caramel Truffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5383,33.8g,613kcal,47.9g,6.0g,30.8g,32.1g,8.7g,0.20g,No.1 Milk Chocolate with Coconut & Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5384,68.6g,443kcal,13.7g,2.9g,6.2g,1.3g,10.0g,0.84g,Essential Cream Crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5385,75.5g,415kcal,7.2g,4.2g,3.0g,,10.2g,1.13g,Essential High Bake Water Biscuits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5386,54.6g,523kcal,30.2g,2.7g,13.9g,6.6g,7.0g,2.4g,Tuc Original Crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5387,67.5g,465kcal,16.6g,4.0g,7.5g,1.4g,9.2g,1.4g,Jacob's Savours Salt & Cracked Black Pepper Bakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5388,67.7g,440kcal,13.5g,3.8g,6.2g,1.4g,10.0g,1.3g,Jacob's Cream Crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5389,74.7g,417kcal,7.7g,4.2g,3.3g,1.6g,10.1g,1.5g,Carr's Table Water Biscuits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5390,57.1g,526kcal,29.3g,1.0g,15.4g,9.9g,8.0g,1.4g,Tuc Cheese Sandwich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5391,61.4g,463kcal,18.3g,7.4g,6.1g,1.6g,9.3g,1.7g,Jacob's cream crackers high fibre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5392,67.7g,440kcal,13.5g,3.8g,6.2g,1.4g,10.0g,1.3g,Jacob's cream crackers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5393,63.2g,483kcal,21.2g,2.4g,15.5g,4.0g,8.6g,1.8g,Jacob's Savours Sour Cream & Chive Thins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5394,47.0g,525kcal,31.8g,2.9g,15.7g,5.3g,10.8g,1.6g,Jacob's Cheddars Cheese Biscuits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5395,43.6g,550kcal,34.8g,2.4g,21.0g,0.2g,14.5g,1.90g,Waitrose all butter Gouda ovals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
