,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Of which Polyunsaturated,Iron,Omega 3,Vitamin A,Vitamin B12,Sodium,Vitamin D,Calcium,Of which Trans,Vitamin C,Selenium,Thiamin,Iodine,Potassium,Riboflavin,Vitamin E,Vitamin B6,Biotin,Copper,Of which Polyols,Manganese,Omega 6,Folic Acid,Niacin,Polyunsaturates,Salt Equivalent,Magnesium,Pathogenic Acid,Zinc,Of which Starch,Vitamin K,Chloride,Pantothenic Acid,Cholesterol,Of which Cholesterol,box,label-glued,shrinkwrap,Omega 9
1168,0.0g,410kcal,34.0g,0.0g,22.0g,0.0g,26.0g,0.80g,Waitrose French Comté AOP Strength 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,0.0g,317kcal,23.8g,0g,16.1g,0.0g,25.8g,2.55g,Essential Edam Strength 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,2.5g,402kcal,42.0g,0.0g,28.0g,2.5g,3.6g,0.10g,Essential Italian Mascarpone Strength 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,0.0g,387kcal,32.0g,0.0g,22.0g,0.0g,24.8g,1.50g,Essential Dutch Gouda Strength 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,Nil,368kcal,28g,,19g,Nil,29g,1.5g,Président Emmental,,,,,,,,1010mg/126%RI*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,,299kcal,24.0g,,15.8g,,20.7g,3.25g,Essential Beechwood Smoked Cheese Strength 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,<0.5g,289kcal,24.4g,<0.5g,17.7g,<0.5g,17.0g,2.8g,Waitrose Duchy Greek Feta Strength 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,0.0g,392kcal,32.0g,0.0g,18.0g,0.0g,26.0g,5.00g,Waitrose Pecorino Romano PDO Strength 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,0.2g,283kcal,24.2g,0.3g,15.0g,0.1g,15.9g,3.15g,Waitrose Greek Feta Strength 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,<0.5g,396kcal,32.0g,0.0g,19.2g,<0.5g,27.0g,1.5g,Waitrose Swiss Le Gruyère Réserve AOP Strength 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,"2,0g",238kcal,18g,,13g,"1,0g",17g,"0,70g",Galbani Mozzarella Maxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,3.4g,468kcal,39.4g,0.0g,27.9g,1.0g,25.0g,2.1g,Waitrose Spanish Manchego D.O.P. Strength 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,0.2g,282kcal,24.2g,,15.0g,<0.1g,15.9g,3.15g,Odysea Feta Sheep & Goat's Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,4.2g,259kcal,20.1g,,17.4g,0.1g,15.1g,3.50g,Odysea Greek crumbly cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,"5,0g",169kcal,13g,,"9,0g","4,0g","8,0g","0,40g",Galbani Ricotta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,0.0g,393kcal,29.0g,0.0g,19.0g,0.0g,33.0g,0.90g,Waitrose Vegetarian Italian Hard Cheese Strength 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,1.0g,157kcal,9.0g,0.0g,5.8g,1.0g,18.0g,0.60g,Essential Italian Lighter Mozzarella Strength1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,0.0g,398kcal,30.0g,0.0g,20.0g,0.0g,32.0g,1.6g,Waitrose Duchy Parmigiano Reggiano DOP Strength 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,1.0g,238kcal,18.0g,0.0g,12.0g,1.0g,18.0g,0.60g,Essential Italian Mozzarella Minis Strength 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,0.0g,314kcal,26.0g,0.0g,18.0g,0.0g,20.0g,1.70g,Waitrose Chèvre Blanc Strength 2,,,,,,,,23% of NRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,0.0g,397kcal,29.7g,0.0g,19.6g,0.0g,32.4g,1.63g,Waitrose Parmigiano Reggiano DOP Strength 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,"2,0g",256kcal,24g,,15g,"2,0g","8,0g","0,54g",Galbani Burrata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,0.6g,183kcal,11.4g,0.0g,8.2g,<0.5g,19.6g,2.3g,Essential Greek Light Salad Cheese Strength 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,"1,0g",272kcal,24g,,16g,"<0,5g",13g,"0,67g",Galbani Mozzarella di Bufala Mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,"4,0g",403kcal,41g,,28g,"3,0g","4,5g","0,08g",Galbani Mascarpone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,0.2g,282kcal,24.0g,,16.5g,0.2g,16.0g,2.90g,Odysea Organic Feta PDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,0.2g,283kcal,24.2g,,15.0g,<0.1g,15.9g,3.10g,Odysea Sheep's Milk Feta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,0.2g,282kcal,24.2g,,15.0g,<0.1g,15.9g,3.15g,Odysea Feta Snack Portions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,8g,239kcal,23g,,21g,0g,0g,1.2g,Violife Creamy,,,,,2.5µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,0.7g,277kcal,23.2g,0.0g,16.5g,0.7g,16.3g,2.3g,Waitrose Lactose Free Greek Feta Strength 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,"1,0g",233kcal,17g,,12g,"0,5g",19g,"0,75g",Galbani 20 mini mozzarella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,0g,391kcal,32g,,18g,0g,25g,5g,Galbani Pecorino Romano DOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,0.0g,397kcal,29.7g,0.0g,19.6g,0.0g,32.4g,1.6g,essential Waitrose Parmigiano Reggiano cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,1.8g,306kcal,27g,<0.5g,16g,<0.5g,15g,0.63g,Laverstoke Park Farm Buffalo Mozzarella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,0.8g,288kcal,25g,,17g,0.8g,15g,0.70g,Garofalo Mozzarella di Bufala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,1.0g,225kcal,17.0g,0.0g,11.0g,<0.5g,17.0g,0.45g,Waitrose Duchy Italian Mozzarella Strength 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,"1,0g",307kcal,23g,,17g,"1,0g",24g,"1,3g",Granarolo Scamorza Affumicata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,0.9g,328kcal,26.4g,0.0g,18.2g,0.9g,21.6g,2.80g,Essential Cypriot Halloumi Strength 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,2.6g,277kcal,18.2g,0.0g,13.1g,2.6g,25.6g,2.53g,Essential Cypriot Light Halloumi Strength 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,1.6g,365kcal,27.8g,,16.1g,<0.1g,26.6g,1.6g,St Helen's Farm Mild Goats Cheese,,,,,,,,941mg*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,3.3g,393kcal,30.9g,0.8g,23.0g,<0.1g,24.9g,2.0g,Woodlands Melbury Sheep Milk Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,"3,0g",272kcal,"21,1g",,"16,3g",0g,"15,8g","1,20g",Bettine Mild Goat's Cheese Plain Pearls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,1.0g,432kcal,42.8g,,28.5g,1.0g,10.7g,2.70g,Odysea Manouri Cheese PDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,"3,1g",275kcal,"22,0g",,"17,0g",0g,"16,5g","1,30g",Bettine Mild Goat's Cheese Plain Slices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,1.0g,314kcal,23.7g,3.0g,16.3g,1.0g,22.6g,2.60g,Waitrose Duchy Cypriot Halloumi Strength 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,<0.1g,234kcal,25.5g,,15.5g,<0.1g,21.8g,2.10g,Milky's Halum British halloumi style cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,2.9g,300kcal,23.8g,0.0g,16.7g,2.9g,18.5g,2.90g,Waitrose Lactose Free Cypriot Halloumi Strength 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,1.1g,349kcal,27.0g,,17.9g,0.6g,24.8g,3.19g,Odysea Greek Saganaki Kefalotyri Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,21g,279kcal,15g,,9g,<0.5g,16g,1.6g,Seriously Original 6 Cheese Nuggets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,<0.01g,308kcal,24g,,,<0.01g,23g,1.8g,Mini Babybel 12s,,,,,,,,700mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,6.5g,-239kcal,18.5g,,12.5g,6.5g,11.5g,1.8g,The Laughing Cow Original 8 Cheese Triangles,,,,,,,,590mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,6g,-147kcal,7g,,4.7g,6g,15g,1.5g,The Laughing Cow Light 16 Triangles,,,,,,,,480mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,<0.01g,208kcal,12g,,,<0.01g,25g,1.8g,Mini Babybel Light,,,,,,,,760mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,<0.01g,308kcal,24g,,,<0.01g,23g,1.8g,Mini Babybel,,,,,,,,700mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,2.5g,304kcal,22.5g,,14g,1.0g,23g,1.8g,Cheestrings 8 Pack,,,,,,,6.25ug,780mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,1.2g,405kcal,33.6g,Trace,22.2g,0.1g,24.4g,2.0g,Marmite Cheddar Bites,,,,,3.0µg,,,0.67mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,0.1g,410kcal,34.4g,,21.7g),0.1g),25g,1.8g,Ilchester Cheese Selection 12 Cheese Portions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,"<0,1",371kcal,31g,,21g,"<0,1",23g,"1,8g",Mini Babybel Mixed Pack x9,,,,,,,,630mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,traces,293kcal,23g,,,traces,21.5g,1.8g,Mini Babybel Organic,,,,,,,,680mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,2.5g,304kcal,22.5g,,14g,1.0g,23g,1.8g,Cheestrings Twisted 8 Pack,,,,,,,6.25µg,780mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,<0.5g,257kcal,18.5g,,,<0.5g,26.5g,1.5g,Babybel Mini Rolls,,,,,,,,550mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,2.5g,304kcal,22.5g,,14g,1.0g,23g,1.8g,Cheestrings 4 Pack,,,,,,,6.25µg,780mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,26g,291kcal,13g,1.4g,7.4g,2.4g,16g,1.35g,Dairylea Lunchables Ham 'n' Cheese,,,,,,,1.2µg,246mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,2.5g,304kcal,22.5g,,14g,1.0g,23g,1.8g,Cheestrings Twisted 4 Pack,,,,,,,6.25µg,780mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,<0.5g,390kcal,32.0g,0.0g,20.8g,<0.5g,25.5g,1.80g,Waitrose Belton Red Leicester Strength 3,,,,,,,,86% of NRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,0.1g,381kcal,31.8g,,21.1g,0.1g,23.7g,1.3g,Wensleydale Creamery Yorkshire Wensleydale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,<0.5g,411kcal,34.5g,0.0g,21.6g,<0.5g,24.9g,1.80g,Waitrose Belton Double Gloucester Strength 3,,,,,,,,91% of NRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,<0.5g,411kcal,34.5g,0.0g,21.6g,<0.5g,24.9g,1.8g,Essential Red Leicester Strength 3,,,,,,,,91% of NRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,2.7g,425kcal,35.2g,1.0g,22.4g,<0.1g,24.4g,1.8g,Belton Farm Red Fox Aged Red Leicester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,<0.5g,381kcal,31.8g,0.0g,21.1g,<0.5g,23.7g,1.58g,Waitrose Belton Cheshire Strength 2,,,,,,,,68% of NRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,<0.5g,381kcal,31.8g,0.0g,21.1g,<0.5g,23.7g,1.58g,Waitrose Dewlay Lancashire Strength 3,,,,,,,,68% of NRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,<0.5g,381kcal,31.8g,0.0g,21.1g,<0.5g,23.7g,1.58g,Waitrose Belton Wensleydale Strength 2,,,,,,,,68% of NRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,19.4g,305kcal,24.6g,0.5g,20.9g),0.2g),1.5g,1.8g,Applewood Vegan,,,,,2.7µg,,,282mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,11g,305kcal,29g,,26g,0g,0g,1.7g,Violife Greek White Block,,,,,2.5µg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,22.5g,318kcal,26.3g,1.5g,23.5g,0.5g,0.7g,2.5g,Koko Dairy Free Cheddar,,,,,0.8µg,,1.2µg,736mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,7.6g,199kcal,18.7g,0.9g,16.6g,0.9g,0.4g,0.9g,Koko Dairy Free Alternative to Soft Cream Cheese,,,,,0.38µg,,0.75µg,200mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,17.0g,318kcal,26.2g,4.9g,21.8g,0.3g,1.3g,1.9g,Sheese Mild Cheddar Style,,,,,,,,150mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,30.0g,294kcal,18.2g,1.0g,11.6g,2.6g,1.9g,1.5g,Waitrose Vegan 2 Breaded Baking Melts with Relish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,10.0g,48kcal,0.1g,3.1g,trace,10.0g,0.3g,trace,Conference Pears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,15.4g,66kcal,<0.5g,0.9g,0.0g,15.4g,<0.5g,0.01g,Essential Red Seedless Grapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,15.4g,66kcal,<0.5g,0.9g,0.0g,15.4g,<0.5g,0.01g,Essential Green Seedless Grapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,11.8g,55kcal,0.1g,2.4g,trace,11.8g,0.4g,trace,Waitrose Pink Lady Apples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,9.5g,52kcal,<0.5g,2.9g,0.0g,9.5g,1.3g,0.01g,Waitrose Speciality Figs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,15.4g,66kcal,<0.5g,0.9g,0.0g,15.4g,<0.5g,0.01g,Waitrose Sable Grapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,11.6g,56kcal,0.5g,1.2g,0.0g,11.6g,0.6g,0.0g,Waitrose Granny Smith Apples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,7.0g,689kcal,65.2g,6.7g,6.1g,2.6g,15.2g,<0.01g,Waitrose Walnuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,50.3g,256kcal,1.6g,2.6g,0.5g,1.0g,8.7g,0.84g,Stone Baked Grand Rustique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,65.2g,461kcal,17.4g,3.7g,7.7g,6.9g,8.9g,1.50g,Essential Biscuits for Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,9.1g,595kcal,49.9g,12.5g,3.8g,4.4g,21.2g,0.0g,Waitrose Almonds,,,,,,,,,,,,,,,,217% of NRV,,,,,,,,,,,,,,,,,,,,,,,
1257,4.3g,721kcal,72.0g,9.6g,6.2g,4.0g,9.2g,0.0g,Waitrose Pecans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,49.7g,254kcal,1.0g,4.0g,0.2g,3.2g,9.6g,0.90g,Stonebaked Baguette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,58.8g,299kcal,3.9g,8.6g,0.4g,53.8g,2.9g,0.25g,Waitrose DUCHY Dried Figs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,50.3g,253kcal,1.2g,2.8g,0.3g,2.2g,8.9g,0.84g,Waitrose 1 Grand Pain 800g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,23g,92kcal,0g,3.4g,0g,19g,0.8g,2.5g,Opies pickled walnuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,48.4g,243kcal,1.0g,3.9g,0.2g,2.0g,8.2g,0.87g,Pave Rustique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,2.1g,22kcal,0.5g,2.5g,0.2g,0.3g,1.1g,6.00g,Waitrose Spanish caperberries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,63.7g,421kcal,12.4g,7.8g,0.9g,15.8g,9.7g,1.5g,No.1 Biscuits for Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,56g,490kcal,24g,6.6g,15g,2.3g,10g,1.3g,Thomas.J.Fudge's Many-Shaped Biscuits for Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,2.9g,27kcal,0.5g,2.2g,0.1g,2.2g,1.6g,trace,Essential Leeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,21.3g,93kcal,0.3g,3.0g,0.1g,5.7g,1.2g,,Essential Sweet Potatoes,0.1g,,,,,0.04g,,,,,,,,,,,,,,,,,,,,0.1g,,,,,,,,,,,,,
1268,1.8g,20kcal,0.4g,1.1g,0.1g,1.7g,1.8g,,Essential Courgettes,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,7.9g,42kcal,0.3g,2.8g,0.1g,7.4g,0.6g,0.06g,Essential Carrots,0.2g,0.3mg,,,,0.03g,,3% of NRV,,8% of NRV,,9% of NRV,1% of NRV,9% of NRV,1% of NRV,5% of NRV,10% of NRV,1% of NRV,,,,,,1% of NRV,,,1% of NRV,4% of NRV,1% of NRV,,,,,,,,,,
1270,8.0g,41kcal,<0.5g,2.2g,0.0g,6.2g,1.0g,0.0g,Essential Onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1271,12.5g,77kcal,1.1g,4.9g,0.2g,5.7g,1.8g,,Essential Parsnips,0.2g,0.6mg,,,,trace,,5% of NRV,,,,,,23% of NRV,,,,1% of NRV,,,,,,,,,,4% of NRV,3% of NRV,,,,,,,,,,
1272,16.3g,102kcal,0.6g,2.1g,0.1g,1.6g,7.9g,,Cooks' Ingredients Large Garlic,0.3g,,,,,trace,,,,,,,,,,,,,,,,,,,,trace,,,,,,,,,,,,,
1273,8.1g,51kcal,0.8g,2.0g,0.2g,1.7g,1.8g,0.03g,Cooks' Ingredients Root Ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,1.9g,198kcal,19.5g,3.4g,4.1g,0.5g,1.9g,0.02g,Essential Home Ripening Salad Avocado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,7.9g,38kcal,0.2g,1.4g,trace,5.6g,1.2g,,Essential Red Onions,,,,,,trace,,,,,,,,,,,,,,,,,,,,trace,,,,,,,,,,,,,
1276,19.6g,91kcal,<0.5g,,<0.1g,0.9g,1.9g,<0.01g,Essential Large Potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,,,,,,,,,Essential Brussels Sprouts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,7.4g,37kcal,<0.5g,1.4g,<0.1g,3.9g,0.9g,0.01g,Essential Butternut Squash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,1.8g,17kcal,<0.5g,,<0.1g,1.7g,0.9g,0.03g,Waitrose Fennel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,3.3g,25kcal,<0.5g,1.8g,<0.1g,3.3g,1.5g,0.0g,Echalion Shallots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,9.2g,49kcal,<0.5g,1.8g,<0.1g,1.6g,1.5g,0.25g,Celeriac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,5.0g,32kcal,0.2g,2.5g,trace,4.9g,1.4g,trace,Essential White Cabbage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,7.4g,41kcal,<0.5g,2.1g,0.0g,3.8g,1.4g,0.07g,Red Cabbage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,<0.5g,8kcal,<0.5g,0.7g,0.1g,<0.5g,1.0g,0.0g,Essential Cup Mushrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,19.6g,91kcal,<0.5g,,<0.1g,0.9g,1.9g,<0.01g,Large Red Potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286,4.4g,35kcal,<0.5g,1.8g,0.2g,2.9g,2.5g,0.02g,Waitrose Trimmed Cauliflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,3.3g,24kcal,<0.5g,1.4g,0.0g,3.3g,1.5g,0.03g,Shallots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,<0.5g,8kcal,<0.5g,,0.1g,<0.5g,1.0g,0.01g,Waitrose Flat Portabello Mushrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,16.1g,77kcal,<0.5g,,0.0g,1.3g,1.7g,0.03g,Small New Potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,8.3g,43kcal,<0.5g,2.0g,<0.1g,4.5g,1.1g,0.01g,Duchy Butternut Squash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,4.1g,32kcal,0.4g,2.4g,0.1g,4.0g,1.7g,trace,Red Cabbage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,8.3g,43kcal,<0.5g,2.0g,<0.1g,4.5g,1.1g,0.01g,Waitrose Golden Butternut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,,,,,,,,,Cooks' Ingredients Garlic Grappe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,8.3g,43kcal,<0.5g,,<0.1g,4.5g,1.1g,0.01g,Assorted Squash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,4.1g,32kcal,0.4g,2.4g,0.1g,4.0g,1.7g,trace,White Cabbage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296,19.6g,91kcal,<0.5g,2.0g,0.0g,0.9g,1.9g,0.0g,Maris Piper Potatoes,,,,,,,,,,,,,,443mg,,,,,,,,,,,,,,,,,,,,,,,,,
1297,19.6g,91kcal,<0.5g,2.0g,<0.1g,0.9g,1.9g,<0.01g,Essential Large Potatoes,,,,,,,,,,,,,,443mg,,,,,,,,,,,,,,,,,,,,,,,,,
1298,16.1g,77kcal,<0.5g,1.3g,0.1g,1.3g,1.7g,0.03g,Duchy Baby Potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,14.9g,71kcal,<0.5g,1.8g,0.0g,1.1g,1.8g,0.0g,Baby New Potatoes,,,,,,,,,,,,,,377mg,,,,,,,,,,,,,,,,,,,,,,,,,
1300,19.6g,91kcal,<0.5g,2.0g,0.0g,0.9g,1.9g,0.0g,King Edward Potatoes,,,,,,,,,,,,,,443mg,,,,,,,,,,,,,,,,,,,,,,,,,
1301,19.6g,91kcal,<0.5g,2.0g,<0.1g,0.9g,1.9g,<0.01g,Essential Potatoes,,,,,,,,,,,,,,443mg,,,,,,,,,,,,,,,,,,,,,,,,,
1302,16.1g,79kcal,<0.5g,2.4g,0.1g,1.3g,1.7g,0.03g,Waitrose Baby Potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,14.9g,71kcal,<0.5g,1.8g,<0.1g,1.1g,1.8g,<0.01g,Essential Charlotte Potatoes,,,,,,,,,,,,,,377mg,,,,,,,,,,,,,,,,,,,,,,,,,
1304,21.3g,99kcal,<0.5g,,0.1g,5.7g,1.2g,0.10g,Duchy Organic Sweet Potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,14.9g,71kcal,<0.5g,1.8g,0.0g,1.1g,1.8g,0.0g,Ruby Gem Potatoes,,,,,,,,,,,,,,377mg,,,,,,,,,,,,,,,,,,,,,,,,,
1306,19.6g,91kcal,<0.5g,2.0g,0.0g,0.9g,1.9g,0.0g,Red Potatoes,,,,,,,,,,,,,,443mg,,,,,,,,,,,,,,,,,,,,,,,,,
1307,16,75kcal,0.1,1.6,0.01,0.8,1.8,0.01,Albert Bartlett Potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
